Time(s),Temperature(C)
580.56,133.25
583.90,133.50
587.24,133.75
590.58,133.50
593.91,133.50
597.25,134.00
600.58,133.75
603.92,134.00
607.26,133.75
610.59,131.50
613.93,129.75
617.27,133.75
620.60,134.25
623.94,134.75
627.28,134.25
630.61,134.75
633.95,134.00
637.29,134.25
640.62,134.75
643.96,134.50
647.30,134.50
650.63,135.25
653.97,134.50
657.31,135.00
660.64,131.00
663.98,135.00
667.32,135.25
670.65,135.25
673.99,134.75
677.32,135.00
680.66,135.50
684.00,134.75
687.33,135.25
690.67,135.75
694.01,135.25
697.34,135.75
700.68,135.25
704.02,135.50
707.36,135.25
710.69,135.00
714.03,135.75
717.36,135.75
720.70,136.25
724.04,136.00
727.38,135.75
730.71,135.50
734.05,136.75
737.38,136.25
740.72,136.50
744.06,136.75
747.39,136.75
750.73,137.00
754.07,136.75
757.40,135.75
760.74,136.75
764.08,135.25
767.41,136.50
770.75,137.00
774.09,134.25
777.42,137.25
780.76,137.50
784.09,136.50
787.43,137.50
790.77,137.00
794.10,137.50
797.44,137.75
800.78,137.75
804.11,137.25
807.45,137.50
810.79,137.00
814.12,138.00
817.46,137.75
820.80,137.75
824.14,137.50
827.47,137.75
830.81,138.00
834.15,138.25
837.48,138.25
840.82,138.00
844.16,137.50
847.49,138.25
850.83,138.75
854.17,138.00
857.50,138.75
860.84,137.50
864.17,138.75
867.51,138.25
870.85,138.50
874.18,138.75
877.52,138.75
880.86,138.25
884.19,138.50
887.53,138.25
890.87,139.00
894.20,139.00
897.54,139.25
900.88,139.00
904.21,136.75
907.55,139.25
910.89,139.25
914.22,139.25
917.56,139.50
920.90,139.50
924.23,139.50
927.57,139.75
930.91,139.50
934.24,140.00
937.58,139.00
940.92,139.00
944.25,139.25
947.59,140.00
950.93,136.00
954.26,140.00
957.60,140.00
960.94,139.25
964.27,140.25
967.61,140.00
970.95,140.00
974.28,140.25
977.62,139.75
980.96,140.00
984.29,139.50
987.63,140.50
990.97,140.00
994.30,140.25
997.64,141.00
1000.97,140.50
1004.31,140.50
1007.65,140.75
1010.98,140.25
1014.32,140.00
1017.66,140.75
1020.99,139.50
1024.33,140.75
1027.67,140.25
1031.00,139.00
1034.34,140.00
1037.68,140.00
1041.02,140.25
1044.35,140.50
1047.69,141.00
1051.03,140.25
1054.36,140.50
1057.70,140.50
1061.04,140.00
1064.37,140.75
1067.71,141.00
1071.05,140.50
1074.38,141.00
1077.72,141.25
1081.06,141.25
1084.39,141.50
1087.73,141.50
1091.06,141.50
1094.40,141.25
1097.74,141.75
1101.07,141.50
1104.41,140.75
1107.75,141.00
1111.08,141.50
1114.42,141.75
1117.76,142.25
1121.09,142.00
1124.43,142.25
1127.77,142.00
1131.10,141.75
1134.44,142.00
1137.78,141.75
1141.11,142.25
1144.45,142.25
1147.79,141.75
1151.13,142.25
1154.46,142.25
1157.80,142.25
1161.14,142.25
1164.47,142.50
1167.81,142.25
1171.15,142.25
1174.48,142.50
1177.82,142.00
1181.16,142.25
1184.49,142.75
1187.83,142.50
1191.17,142.75
1194.50,138.25
1197.84,143.00
1201.18,142.50
1204.51,143.50
1207.85,142.25
1211.19,143.25
1214.52,142.75
1217.86,143.00
1221.19,143.00
1224.53,143.50
1227.87,143.00
1231.20,143.50
1234.54,143.00
1237.88,143.25
1241.21,139.75
1244.55,143.50
1247.89,143.25
1251.22,143.00
1254.56,143.75
1257.90,142.25
1261.24,143.75
1264.57,143.50
1267.91,143.00
1271.25,143.75
1274.58,143.75
1277.92,144.00
1281.26,143.75
1284.59,143.75
1287.93,140.75
1291.27,144.00
1294.60,143.00
1297.94,144.25
1301.28,144.00
1304.61,144.25
1307.95,143.75
1311.29,144.25
1314.62,144.00
1317.96,144.25
1321.30,143.50
1324.63,144.25
1327.97,144.00
1331.31,144.25
1334.64,142.75
1337.98,144.00
1341.31,144.00
1344.65,144.00
1347.99,144.00
1351.32,144.25
1354.66,143.75
1358.00,144.75
1361.34,144.25
1364.68,144.25
1368.01,143.75
1371.35,143.75
1374.68,144.50
1378.02,144.50
1381.36,144.50
1384.69,144.25
1388.03,144.25
1391.37,143.25
1394.70,144.75
1398.04,144.00
1401.38,144.50
1404.71,144.00
1408.05,144.75
1411.39,144.00
1414.72,144.75
1418.06,144.50
1421.40,144.25
1424.73,144.75
1428.07,144.25
1431.41,144.00
1434.74,143.75
1438.08,144.75
1441.42,142.25
1444.75,144.00
1448.09,145.00
1451.43,145.00
1454.76,144.75
1458.10,144.50
1461.44,144.50
1464.77,145.00
1468.11,144.50
1471.45,144.25
1474.78,144.50
1478.12,145.00
1481.46,144.75
1484.79,141.00
1488.13,144.75
1491.47,144.25
1494.80,144.50
1498.14,145.00
1501.48,144.75
1504.81,144.75
1508.15,144.75
1511.49,144.50
1514.82,144.75
1518.16,144.50
1521.50,144.50
1524.83,145.00
1528.17,144.75
1531.51,140.50
1534.84,145.50
1538.18,145.25
1541.52,145.25
1544.85,144.75
1548.19,144.50
1551.53,145.00
1554.86,144.75
1558.20,145.00
1561.54,144.75
1564.87,145.00
1568.21,145.25
1571.55,145.25
1574.89,144.75
1578.22,142.25
1581.56,145.00
1584.90,145.25
1588.23,145.00
1591.57,144.25
1594.91,144.75
1598.24,145.25
1601.58,145.25
1604.91,145.50
1608.25,144.75
1611.59,145.25
1614.92,145.50
1618.26,145.00
1621.60,144.75
1624.93,142.25
1628.27,145.75
1631.61,145.00
1634.94,145.50
1638.28,145.25
1641.62,144.75
1644.95,145.50
1648.29,145.50
1651.63,144.50
1654.96,145.75
1658.30,143.75
1661.64,145.00
1664.97,145.50
1668.31,143.50
1671.65,144.75
1674.98,145.25
1678.32,145.50
1681.66,145.25
1685.00,145.25
1688.33,145.00
1691.67,145.50
1695.01,146.00
1698.34,145.50
1701.68,145.25
1705.02,145.25
1708.35,145.75
1711.69,144.25
1715.03,145.25
1718.36,144.25
1721.70,144.75
1725.04,145.00
1728.37,145.00
1731.71,145.00
1735.04,145.50
1738.38,145.50
1741.72,145.50
1745.05,144.75
1748.39,145.75
1751.73,145.00
1755.06,145.50
1758.40,145.50
1761.74,145.50
1765.07,145.50
1768.41,145.75
1771.75,146.00
1775.08,146.25
1778.42,146.00
1781.76,146.00
1785.09,145.25
1788.43,146.50
1791.77,144.50
1795.11,146.00
1798.44,145.25
1801.78,145.25
1805.11,145.50
1808.45,146.25
1811.79,145.50
1815.13,146.25
1818.46,146.25
1821.80,145.00
1825.14,145.75
1828.47,145.75
1831.81,146.25
1835.15,145.75
1838.48,145.50
1841.82,146.00
1845.16,146.00
1848.49,146.00
1851.83,146.25
1855.16,145.75
1858.50,145.50
1861.84,146.25
1865.17,146.25
1868.51,141.75
1871.85,145.75
1875.18,145.50
1878.52,146.00
1881.86,145.75
1885.19,146.50
1888.53,145.75
1891.87,146.50
1895.21,145.75
1898.54,145.75
1901.88,145.50
1905.22,146.75
1908.55,145.75
1911.89,146.25
1915.23,142.75
1918.56,145.75
1921.90,146.50
1925.24,146.25
1928.57,146.00
1931.91,146.50
1935.25,146.25
1938.58,146.00
1941.92,146.00
1945.26,146.25
1948.59,146.25
1951.93,146.50
1955.27,146.50
1958.60,146.50
1961.94,143.25
1965.28,146.50
1968.61,145.75
1971.95,146.50
1975.29,146.50
1978.62,146.00
1981.96,146.50
1985.29,146.25
1988.63,146.25
1991.97,146.75
1995.30,146.50
1998.64,147.00
2001.98,146.25
2005.32,146.00
2008.65,146.00
2011.99,146.50
2015.33,146.50
2018.66,146.75
2022.00,146.75
2025.34,146.50
2028.67,146.25
2032.01,145.75
2035.35,146.75
2038.68,146.75
2042.02,146.75
2045.36,146.50
2048.69,147.00
2052.03,145.75
2055.37,146.25
2058.70,146.50
2062.04,146.50
2065.38,146.00
2068.71,146.75
2072.05,146.50
2075.39,146.25
2078.72,146.25
2082.06,147.00
2085.39,146.25
2088.73,146.00
2092.07,146.75
2095.40,146.25
2098.74,146.25
2102.08,146.75
2105.41,146.00
2108.75,146.50
2112.09,146.75
2115.43,147.00
2118.76,146.75
2122.10,146.75
2125.44,146.00
2128.77,146.75
2132.11,147.00
2135.45,146.75
2138.78,147.00
2142.12,146.75
2145.46,146.50
2148.79,146.50
2152.13,146.25
2155.47,146.25
2158.80,144.00
2162.16,146.75
2165.50,146.50
2168.83,146.50
2172.17,146.50
2175.50,146.75
2178.84,147.00
2182.18,147.00
2185.51,146.75
2188.85,146.25
2192.19,146.75
2195.52,146.75
2198.86,146.75
2202.20,147.00
2205.53,143.75
2208.87,147.25
2212.20,146.50
